microsite,side,light transmitance (w/m2)
burlap,top,0.032
burlap,west,0.026
burlap,bottom,0.031
burlap,east,0.034
open,none,0.104
open,none,0.175
canvas,top,0.013
canvas,west,0.014
canvas,bottom,0.034
canvas,east,0.015
open,none,0.084
open,none,0.087
burlap,top,0.019
burlap,west,0.018
burlap,bottom,0.016
burlap,east,0.013
open,none,0.073
open,none,0.093
nursery,top,0.018
nursery,bottom,0.01
nursery,east,0.03
nursery,west,0.013
nursery,top,0.023
nursery,bottom,0.02
nursery,east,0.014
nursery,west,0.02
nursery,top,0.028
nursery,bottom,0.04
nursery,east,0.042
nursery,west,0.32
