"","researcher","day","date","hour_HOBO","hour_OMEGA","temp","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","intensity.square","intensity.triangle","intensity.Ephedra californica","intensity.open"
"1","ng",3,"17-02-2023","18:00:00",NA,6.471,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,1,0,8
"2","ng",3,"17-02-2023","19:00:00",NA,6.573,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"3","ng",3,"17-02-2023","20:00:00",NA,5.347,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"4","ng",3,"17-02-2023","21:00:00",NA,4.934,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"5","ng",3,"17-02-2023","22:00:00",NA,2.517,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"6","ng",3,"17-02-2023","23:00:00",NA,0.563,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"7","ng",4,"18-02-2023","0:00:00",NA,-0.549,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"8","ng",4,"18-02-2023","1:00:00",NA,-2.145,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"9","ng",4,"18-02-2023","2:00:00",NA,-2.03,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"10","ng",4,"18-02-2023","3:00:00",NA,-2.61,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"11","ng",4,"18-02-2023","4:00:00",NA,-1.341,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"12","ng",4,"18-02-2023","5:00:00",NA,-1.456,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"13","ng",4,"18-02-2023","6:00:00",NA,-1.114,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0,0,0,0
"14","ng",4,"18-02-2023","7:00:00",NA,0.674,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,2304,384,672,992
"15","ng",4,"18-02-2023","8:00:00",NA,16.046,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,7680,1664,1664,3584
"16","ng",4,"18-02-2023","9:00:00",NA,22.142,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,8704,2176,1856,6656
"17","ng",4,"18-02-2023","10:00:00",NA,32.704,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,8704,2432,1728,8192
"18","ng",4,"18-02-2023","11:00:00",NA,18.521,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,3072,2816,1664,768
"19","ng",4,"18-02-2023","12:00:00",NA,19.377,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,2304,3456,2048,22528
"20","ng",4,"18-02-2023","13:00:00",NA,18.806,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,2048,4864,2048,23552
"21","ng",4,"18-02-2023","14:00:00",NA,18.521,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,1536,5376,1280,23552
"22","ng",4,"18-02-2023","15:00:00",NA,17.57,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,1472,4352,1408,20480
"23","ng",4,"18-02-2023","16:00:00",NA,16.332,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,1344,2944,960,14336
"24","ng",4,"18-02-2023","17:00:00",NA,15.187,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,800,1536,272,6400
