"","researcher","day","date","hour_HOBO","hour_OMEGA","temp","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","intensity.Larrea tridentata","intensity.triangle","intensity.square","intensity.open"
"1","ng",2,"2023-02-20","18:00:00",NA,15.282,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"2","ng",2,"2023-02-20","19:00:00",NA,13.173,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"3","ng",2,"2023-02-20","20:00:00",NA,12.497,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"4","ng",2,"2023-02-20","21:00:00",NA,9.669,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"5","ng",2,"2023-02-20","22:00:00",NA,8.182,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"6","ng",2,"2023-02-20","23:00:00",NA,8.68,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"7","ng",3,"2023-02-21","0:00:00",NA,7.582,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"8","ng",3,"2023-02-21","1:00:00",NA,5.244,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"9","ng",3,"2023-02-21","2:00:00",NA,5.655,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"10","ng",3,"2023-02-21","3:00:00",NA,5.45,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"11","ng",3,"2023-02-21","4:00:00",NA,3.472,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"12","ng",3,"2023-02-21","5:00:00",NA,3.683,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"13","ng",3,"2023-02-21","6:00:00",NA,1.98,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,0,0,0,0
"14","ng",3,"2023-02-21","7:00:00",NA,7.481,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,2304,768,1920,704
"15","ng",3,"2023-02-21","8:00:00",NA,18.236,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,6656,1600,3456,1920
"16","ng",3,"2023-02-21","9:00:00",NA,23.292,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,7168,1856,3584,2048
"17","ng",3,"2023-02-21","10:00:00",NA,32.188,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,5888,1920,4352,3840
"18","ng",3,"2023-02-21","11:00:00",NA,35.009,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,8704,2432,4352,3072
"19","ng",3,"2023-02-21","12:00:00",NA,35.756,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,5632,2688,4608,4864
"20","ng",3,"2023-02-21","13:00:00",NA,27.961,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,3712,1728,5120,5632
"21","ng",3,"2023-02-21","14:00:00",NA,25.805,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,1728,1152,3200,5120
"22","ng",3,"2023-02-21","15:00:00",NA,23.196,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,896,608,1792,2944
"23","ng",3,"2023-02-21","16:00:00",NA,24.641,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,1344,1536,2432,4096
"24","ng",3,"2023-02-21","17:00:00",NA,20.615,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,200,168,400,608
