scientific_name,microsite,captures,total
Ammospermophilus nelsoni,Ephedra californica,19,21
Ammospermophilus nelsoni,triangle,1,21
Ammospermophilus nelsoni,square,1,21
Canis latrans,triangle,1,3
Canis latrans,Ephedra californica,1,3
Canis latrans,square,1,3
Corvus brachyrhynchos,Ephedra californica,1,1
Corvus corax,Ephedra californica,1,1
Dipodomys heermanni,square,1,47
Dipodomys heermanni,Ephedra californica,44,47
Dipodomys heermanni,triangle,2,47
Dipodomys ingens,square,5,45
Dipodomys ingens,Ephedra californica,32,45
Dipodomys ingens,triangle,8,45
Vulpes macrotis,triangle,11,20
Vulpes macrotis,Ephedra californica,4,20
Vulpes macrotis,square,5,20
