"scientific_name","microsite","captures","total"
"Buteo jamaicensis","open",7,7
"Canis latrans","Larrea tridentata",1,9
"Canis latrans","open",3,9
"Canis latrans","square",2,9
"Canis latrans","triangle",3,9
"Corvus brachyrhynchos","open",4,4
"Dipodomys heermanni","Larrea tridentata",5,11
"Dipodomys heermanni","square",1,11
"Dipodomys heermanni","triangle",5,11
"Dipodomys ingens","Larrea tridentata",1,9
"Dipodomys ingens","triangle",8,9
"Dipsosaurus dorsalis","triangle",1,2
"Dipsosaurus dorsalis","Larrea tridentata",1,2
"Lepus californicus","open",13,189
"Lepus californicus","Larrea tridentata",43,189
"Lepus californicus","square",64,189
"Lepus californicus","triangle",69,189
"Sylvilagus audubonii","open",5,26
"Sylvilagus audubonii","square",9,26
"Sylvilagus audubonii","triangle",10,26
"Sylvilagus audubonii","Larrea tridentata",2,26
