region,tool,abbreviation,genus,species,sub.spp,common.name,functional.group,reproduction,conservation.status,rarity
Carrizo,cam trap,,ammospermophilus,nelsoni,,Nelson's antelope squirrel,,,threatened ,
Carrizo,cam trap,,andrena,nigrips,,Big-Headed Andrena,,,not listed,
Carrizo,cam trap,,aspidoscelis,uniparens,,whiptail lizard,,,not listed,
Carrizo,cam trap,,bureo,jamaicensis,,Red-Tailed hawk,,,least concern,
Carrizo,cam trap,,calathus,ruficollis,,Ground Beetle,,,not listed,
Carrizo,cam trap,,calypte,anna,,Anna's Hummingbird,,,least concern,
Carrizo,cam trap,,chaetodipus,californicus,,california pocket mouse,,,least concern,
Carrizo,cam trap,,chondestes,grammacus,,Lark Sparrow,,,least concern,
Carrizo,cam trap,,corvus,corax,,common raven,,,least concern,
Carrizo,cam trap,,crotalus ,oreganus,,western rattlesnake,,,least concern,
Carrizo,cam trap,,dasymutilla,aureola,,Velvet ant,,,not listed,
Carrizo,cam trap,,dicolonus,simplex,,Robber fly,,,not listed,
Carrizo,cam trap,,dipodomys,californicus,,california kangroo rat,,,least concern,
Carrizo,cam trap,,dipodomys,ingens,,giant kangaroo rat,,,threatened ,
Carrizo,cam trap,,gambelia,silus,,blunt-nosed leopard lizard,,,endangered,
Carrizo,cam trap,,geococcyx,californianus,,Roadrunner,,,least concern,
Carrizo,cam trap,,hippodania,convergens,,Ladybug,,,not listed,
Carrizo,cam trap,,icaricia,acmon,,Acmon Blue Butterfly,,,not listed,
Carrizo,cam trap,,lepus,californicus,,black-tailed jack rabbit,,,least concern,
Carrizo,cam trap,,lynx,rufus,,Bobcat,,,least concern,
Carrizo,cam trap,,oedaleonotus,enigma,,Valley Grasshopper,,,not listed,
Carrizo,cam trap,,ostopermophilus,beecheyi,,California ground squirrel,,,least concern,
Carrizo,cam trap,,pepsis,formos,,Spider Wasp,,,not listed,
Carrizo,cam trap,,perognathus,inornatus,,San Joaquin Pocket Mouse,,,least concern,
Carrizo,cam trap,,phrynosoma,cornutum,frontale,california horned lizard,,,not listed,
Carrizo,cam trap,,pituophis,catenifer,,Pacific Gopher Snake,,,not listed,
Carrizo,cam trap,,puma,conclor,,mountain lion,,,least concern,
Carrizo,cam trap,,rhionaeschna,multicolor,,Blueeyed Darner,,,not listed,
Carrizo,cam trap,,sceloporus,occidentalis,,western Fence Lizard,,,least concern,
Carrizo,cam trap,,sylvilagus,audobonii,,desert cottontail,,,least concern,
Carrizo,cam trap,,toxostoma,redivivum,,california thrasher,,,least concern,
Carrizo,cam trap,,uta,stansburiana,,Side-blotched lizard,,,not listed,
Carrizo,cam trap,,vulpes,macrotis,,kit fox,,,least concern,
Mojave,cam trap,,lepus,californicus,,black-tailed jackrabbit,,,least concern,
Mojave,cam trap,,canis,latrans,,coyote,,,least concern,
Mojave,cam trap,,vulpes,macrotis,,kit-fox,,,least concern,
Mojave,field survey,,macrotus,californicus,,california leaf-nosed bat,,,least concern,
Mojave,cam trap,,sylvilagus,audobonii,,desert cottontail,,,least concern,
Mojave,cam trap,,dipodomys,deserti,,desert kangaroo rat,,,least concern,
Mojave,cam trap,,dipodomys,merriami,,Merriam's Kangaroo rat,,,least concern,
Mojave,cam trap,,chaetodipus,fallax,,San Diego pocket mouse,,,least concern,
Mojave,cam trap,,chaetodipus,formosus,,long-tailed pocket mouse,,,least concern,
Mojave,cam trap,,ammospermophilus,leucurus,,white-tailed antelope squirrel,,,least concern,
Mojave,cam trap,,spermophilus ,tereticaudus,,round-tailed ground squirrel,,,least concern,
Mojave,field survey,,calypte,costae,,Costa's hummingbird,,,least concern,
Panoche,cam trap,,gambelia,sila,,blunt-nosed leopard lizard,,,endangered,
Panoche,cam trap,,dipodomys,nitratoides ,,Fresno kangaroo rat,,,vulnerable,
field,survery,,pituophis,catenifer,,Pacific Gopher Snake,,,not listed,
Panoche,cam trap,,sylvilagus,audobonii,,desert cottontail,,,least concern,
Panoche,cam trap,,lepus,californicus,,black-tailed jackrabbit,,,least concern,
Panoche,cam trap,,ammospermophilus,,nelsoni,San Joaquin antelope squirrel,,,threatened ,
